# تصنيف الـ179 إعداد (col|type|group)
SETTING_NAME|VARCHAR2|behavior
SETTING_DATE|DATE|behavior
LENGTHED_PERFIX|VARCHAR2|numbering
LENGTHED_LENGTH|NUMBER|numbering
LENGTHED_ITEM_LENGTH|NUMBER|numbering
LENGTHED_BASIC|NUMBER|numbering
LENGTHED|NUMBER|numbering
WEIGHTED_PERFIX|VARCHAR2|numbering
WEIGHTED_LENGTH|NUMBER|numbering
WEIGHTED_ITEM_LENGTH|NUMBER|numbering
WEIGHTED_BASIC|NUMBER|behavior
WEIGHTED|NUMBER|behavior
MACHINE_DIGIT|NUMBER|numbering
USER_DIGIT|NUMBER|numbering
SERIAL_DIGIT|NUMBER|numbering
MAXHUNGS|NUMBER|behavior
OPEN_DRAWER|NUMBER|behavior
PRINT_BILL|NUMBER|printing
POS_BILL_SERIAL|NUMBER|numbering
PRICE_LEVEL|VARCHAR2|behavior
USE_HUNG_BILLS|NUMBER|printing
POS_PRICING_TYPE|NUMBER|behavior
CURR_DFLT|VARCHAR2|currency
SHOW_PAYED_AMT|NUMBER|behavior
POST_ITM_FRST_EXPDATE|NUMBER|behavior
ALLOW_CHANGE_BILL_CURR|NUMBER|printing
USE_CHECK_SUM|NUMBER|behavior
AUDIT_DEL_ITM|NUMBER|behavior
DAY_NOTIFY_HUNG_BILL|NUMBER|printing
USE_DEL_SHIFTF6|NUMBER|behavior
RETURN_CHANGE_TYPE|NUMBER|behavior
RETURN_PERIOD|NUMBER|behavior
CHANGE_PERIOD|NUMBER|behavior
REMOVE_WEIGHT_DIGIT|NUMBER|numbering
USE_PAY_CASH_RT_BILLS|NUMBER|printing
OPEN_BILL_MORE_ONE|NUMBER|printing
OPEN_SYS_MORE_ONE|NUMBER|behavior
USE_PAID|NUMBER|behavior
USE_F12_KEY|NUMBER|behavior
ALLOW_PRINT_HUNG_BILL|NUMBER|printing
USE_SEC_KEY_IN_CR_SALE|NUMBER|behavior
P_ENTER_MAN_ICODE|NUMBER|behavior
P_ENTER_EMP_MNDTRY|NUMBER|behavior
NOT_SHOW_NET_AMT_IN_DEP_CASH|NUMBER|behavior
CASH_NO|NUMBER|behavior
RETURN_A_CODE|VARCHAR2|behavior
COUPON_A_CODE|VARCHAR2|coupons
USE_PREV_PAID_CARD|NUMBER|cards
USE_CARD_MORE_ONE|NUMBER|cards
SHOW_C_NAME|NUMBER|behavior
USE_CREDIT_LIMIT_IN_POS|NUMBER|behavior
AUDIT_HUNG_BILL|NUMBER|printing
LIMIT_REM_CASH_AMT_AFTER_SALE|NUMBER|behavior
USE_F9_KEY_TO_VIEW_ITM|NUMBER|behavior
POS_USE_FREE_QTY|NUMBER|behavior
PRINT_BILL_B4SAV|NUMBER|printing
SHOW_QTY_IN_DEL_SCRN|NUMBER|behavior
GNRT_JRNL_DIFF_CASHR|NUMBER|behavior
ROUND_AMT_FRCTION|NUMBER|behavior
USE_BARCODE_ONLY|NUMBER|behavior
NOT_ALLOW_SAL_NOT_PAY|NUMBER|behavior
PRD_BACK_HOUR|NUMBER|behavior
HNG_BILLS_AUDIT|NUMBER|printing
SHOW_TOOLBAR|NUMBER|behavior
COLLCT_RPT_ITM_PRNT|NUMBER|behavior
SHOW_AVLQTY_IN_BILL|NUMBER|printing
ALLOW_SLCT_ITM_UNT|NUMBER|behavior
FTR_BILL|VARCHAR2|printing
SHOW_ITM_IMG_IN_BILL|NUMBER|printing
USE_POS_POINT_SYS|NUMBER|points
POINT_CALC_TYP|NUMBER|points
PRNT_CNT_POINT|NUMBER|points
POINT_AMT_SAME_RPLC_AMT|NUMBER|points
POINT_APRVD_BY_DAY|NUMBER|points
POINT_AGE_EXPIRED_TYP|NUMBER|points
POINT_AGE_EXPIRED_PRD|NUMBER|points
CUST_NOTE_JOIN_POINT|VARCHAR2|points
CUST_NOTE_NOT_JOIN_POINT|VARCHAR2|points
AUTO_FILL_CARD_IN_BILL|NUMBER|printing
POST_OTHR_CHR_ITM|NUMBER|behavior
UP_CNT|NUMBER|behavior
PR_REP|NUMBER|behavior
AD_TRMNL_NM|VARCHAR2|behavior
UP_TRMNL_NM|VARCHAR2|behavior
UP_U_ID|NUMBER|behavior
UP_DATE|DATE|behavior
USE_DISC_CARD|NUMBER|cards
USE_SALE_ORDER|NUMBER|behavior
INSTL_FREE_QTY_PRM_TYP|NUMBER|coupons
ROUND_DISC_PER_ITM_TYP|NUMBER|cards
CHCK_AVL_QTY|NUMBER|behavior
RTRN_FREE_QTY_TYP|NUMBER|behavior
SEND_MSG_TYP|NUMBER|messages
SEND_MSG_CST_TYP|NUMBER|messages
MSG_TXT_CST_BILL|VARCHAR2|printing
MSG_TXT_CST_BILL_CRDT|VARCHAR2|printing
MSG_TXT_CST_RTBILL|VARCHAR2|printing
MSG_TXT_CST_RTBILL_CRDT|VARCHAR2|printing
MSG_TXT_CST_POINT|VARCHAR2|points
NOT_CLC_PRM_ITM_IN_POINT|NUMBER|points
IP|VARCHAR2|behavior
BALANCE_TYPE|NUMBER|behavior
PRD_BACK_INCRS_TYP|NUMBER|behavior
RTRN_COUPON_BILL|NUMBER|printing
PRD_BACK_INCRS_F_DATE|DATE|behavior
PRD_BACK_INCRS_T_DATE|DATE|behavior
GRP_QTY_4ITM_HAV_PRM|NUMBER|coupons
WEIGHTED_INCLD_ITM_UNT|NUMBER|behavior
MAX_LMT_QTY_4ITM|NUMBER|behavior
LENGTH_CSTMR_CODE|NUMBER|numbering
LENGTH_CSTMR_MOBL_NO|NUMBER|numbering
MSG_TXT_CST_WELCOME|VARCHAR2|messages
USE_MDCN_DESC|NUMBER|behavior
CNCT_DISC_CARD_CSTMR_TYP|NUMBER|cards
SHW_PRICE_BFR_PRM|NUMBER|coupons
USE_EMP_NO|NUMBER|behavior
USE_REP_CODE|NUMBER|behavior
USE_DISC_CRD_BY_PUR_VAL|NUMBER|cards
CLC_CRD_DISC_TYPE|NUMBER|cards
USE_APRVD_IN_RTBILL|NUMBER|printing
SHW_ITM_PRICE_TOTL_BY_NET|NUMBER|behavior
CRDT_CRD_CST_MNDTRY|NUMBER|cards
CSTMR_CODE_MNDTRY|NUMBER|customers
CRDT_CRD_DSC_MNDTRY|NUMBER|cards
CPN_EXPIRE_DATE_MNDTRY|NUMBER|coupons
CHK_PRV_RT_QTY_OTHR_SRVR|NUMBER|behavior
DPST_TYP|NUMBER|currency
SHW_SCRN_CSTMR_BFR_PYD|NUMBER|customers
RTRN_ALL_ITM_BILL_HAV_FPRM|NUMBER|printing
SND_VRFCT_MSG_BFR_RPLC_POINT|NUMBER|points
DO_MOR_TSK_WHN_CHNG_USR|NUMBER|behavior
CSTMR_CODE_ADD_TYP|NUMBER|customers
MOBILE_NO_MNDTRY|NUMBER|customers
ROUND_AMT_TYP|NUMBER|behavior
CHRG_NO|NUMBER|behavior
OUT_BILL_POST_TYP|NUMBER|printing
NUM_OF_DAYS_SHW_BILLS|NUMBER|printing
RT_THEM_NO|NUMBER|behavior
ADD_CSTMR_CSH_FRM_BILL|NUMBER|printing
USE_ADVNC_PYMNT_TYP|NUMBER|behavior
SND_VRFCT_MSG_BFR_ADD_CSTMR|NUMBER|customers
SND_VRFCT_MSG_BFR_RTRN_POINT|NUMBER|points
SND_VRFCT_MSG_FOR_CRDT_BILL|NUMBER|printing
USE_RCPTS_FLG|NUMBER|behavior
USE_EXPNS_FLG|NUMBER|behavior
USE_WRK_SHFT|NUMBER|behavior
WRK_SHFT_TYP|NUMBER|behavior
OPN_SHFT_TYP|NUMBER|behavior
SHW_ALL_ITM_UNT_IN_PRC_READER|NUMBER|behavior
RTRN_IN_OTHR_SAL_BRN|NUMBER|behavior
RTRN_RPLC_IN_OTHR_RTSAL_BRN|NUMBER|behavior
RTRN_PYD_CSH_IN_OTHR_RTSAL_BRN|NUMBER|behavior
CLLCT_ITM_QTY_IN_BILL|NUMBER|printing
CLC_QT_PRM_IN_PYMNT|NUMBER|coupons
REPCODE_MANDTRY|NUMBER|behavior
SMBL_SPRT_WGHT_ITM|VARCHAR2|behavior
SHW_TOT_QTY_BY_ITM_IN_BILL|NUMBER|printing
PST_FRST_EXPDATE_BY_MN_UNT|NUMBER|behavior
MAX_LMT_PRC_4ITM|NUMBER|behavior
PST_CRDT_CRD_TO_AR_TYP|NUMBER|cards
CHK_PST_AMT_VAT_TO_AR|NUMBER|tax
ALLW_UPDATE_PRICE|NUMBER|behavior
USE_BILL_TRC|NUMBER|printing
ENTR_QR_FOR_ITM_USD_QR|NUMBER|behavior
SND_VRFCT_MSG_FOR_RTRN_BILL|NUMBER|printing
PARA_NO|NUMBER|behavior
USE_WHTRNS|NUMBER|behavior
USE_AUTO_APPRVD_RQST|NUMBER|behavior
ALLW_CHNG_EXPDAT_BTCH_QR|NUMBER|behavior
SHW_STK_CST_BY_PRV|NUMBER|behavior
USE_LNK_CPN_API|NUMBER|coupons
CPN_MAX_CNT|NUMBER|coupons
CPN_VAL|NUMBER|coupons
AR_INV_EFCT_MTHD_PST_TYP|NUMBER|behavior
USE_APRVD_IN_DPST|NUMBER|currency
ROUND_AMT_TYP_RTRN|NUMBER|behavior
ROUND_AMT_FRCTION_RTRN|NUMBER|behavior
HTL_SYS_LNK_FLG|NUMBER|behavior
HTL_SYS_WEB_SRVC_IP|VARCHAR2|behavior
