NAME|SIZE|WITCHI|SQL|TRIG|PU|DB|CV|WIN|ALERT|LIB|PARAM
POSADVS2|105872|OK|4|5|2|3|1|1|5|4|65
POSADVS_SCND|146296|OK|4|5|9|4|2|1|5|4|66
POSADVS|147752|OK|4|6|9|4|2|1|5|4|66
POSAVLQTY|98892|OK|10|23|8|4|1|1|6|5|89
POSI001|438796|OK|80|47|42|10|8|5|5|4|69
POSI002|213656|OK|7|45|28|9|7|5|5|4|58
POSI003|267568|OK|20|46|31|10|7|5|5|4|82
POSI004|202536|OK|3|45|28|9|7|5|5|4|58
POSI005|218564|OK|7|45|28|9|7|5|5|4|58
POSI006|213804|OK|7|45|29|9|7|5|5|4|58
POSI007|262488|OK|17|45|29|10|9|6|5|4|59
POSI008|295168|OK|15|46|32|12|8|5|5|4|58
POSI009|221020|OK|10|46|28|9|7|5|5|4|60
POSI010|401568|OK|48|47|39|11|8|5|5|4|79
POSI011|226188|OK|10|45|29|10|7|5|5|4|58
POSI012|220960|OK|14|29|30|8|7|4|5|4|53
POSI014|298192|OK|28|46|33|9|7|5|5|10|58
POSI2000|412740|OK|38|19|23|3|4|2|4|1|105
POSI200|419560|OK|41|19|23|3|4|2|4|1|110
POSLGN|644808|OK|48|19|61|7|6|4|4|5|304
POSQ001|223100|OK|14|30|36|6|5|3|5|5|81
POSR001|593064|OK|91|32|10|11|8|6|3|4|67
POSR002|611416|OK|95|32|13|12|10|7|3|4|69
POSR003|291504|OK|21|32|8|9|7|5|3|4|59
POSR004|511496|OK|33|32|9|12|10|7|4|4|66
POSR005|324004|OK|19|33|9|10|9|5|3|4|61
POSR006|269424|OK|20|32|9|9|7|5|3|4|62
POSR007|349372|OK|47|32|10|9|8|5|3|4|60
POSR008|253444|OK|12|32|8|9|7|5|3|4|59
POSR009|269040|OK|15|31|6|9|7|5|4|4|58
POSR010|298404|OK|17|32|9|9|7|5|3|4|62
POSR011|307568|OK|26|31|7|9|7|5|4|4|60
POSR012|290404|OK|16|32|7|9|7|5|3|4|59
POSR013|344200|OK|33|32|7|9|7|5|3|4|59
POSR014|284948|OK|21|32|9|9|7|5|3|4|60
POSR015|303028|OK|35|32|7|9|7|5|3|4|58
POSR016|285760|OK|27|32|7|9|7|5|3|4|58
POSS001|560204|OK|39|47|34|14|8|5|5|4|65
POSS002|495560|OK|29|47|31|17|9|6|5|4|72
POSS003|228840|OK|5|46|28|9|7|5|7|4|62
POSS004|218736|OK|7|45|30|9|7|5|5|4|66
POSS005|544092|OK|50|47|40|12|10|7|6|4|84
POSS006|406392|OK|7|29|32|11|7|5|5|4|51
POSS007|179004|OK|4|29|30|6|5|3|5|4|51
POSS028|406380|OK|7|29|32|11|7|5|5|4|51
POSS029|406216|OK|7|29|32|11|7|5|5|4|51
POST001|4790736|OK|481|63|152|59|53|31|20|4|435
POST002|2369668|OK|248|57|113|31|25|18|7|4|304
POST003|433956|OK|34|49|39|11|8|6|5|4|145
POST004|480840|OK|66|46|58|11|8|6|9|8|89
POST005|367828|OK|39|46|48|9|7|5|8|5|87
POST006|387668|OK|35|47|38|10|7|5|5|4|81
POST008|671240|OK|129|46|52|14|9|6|9|10|75
POST009|214712|OK|6|45|33|9|7|4|5|4|55
POST010|296424|OK|20|46|33|11|7|5|5|4|66
POST011|314324|OK|30|46|36|9|7|5|7|5|79
POST012|338564|OK|16|46|33|10|7|5|5|4|61
POST013|518636|OK|61|47|44|12|8|6|7|4|78
POST014|222296|OK|8|45|29|9|7|5|5|4|58
POST015|449364|OK|40|47|41|11|8|5|5|4|62
POST016|322524|OK|19|46|41|10|9|5|5|5|111
POST017|469960|OK|38|45|33|13|11|5|5|4|65
POST018|739992|OK|81|47|51|16|17|10|5|4|143
POST019|820556|OK|109|47|60|17|20|11|6|4|141
POST020|402220|OK|42|48|41|10|7|5|5|4|133
POST021|256568|OK|14|45|34|11|9|5|5|4|65
POST022|363328|OK|37|46|34|12|11|9|5|4|124
POST023|385708|OK|44|50|37|11|8|6|5|4|140
POST024|1717104|OK|180|55|92|29|26|21|18|4|308
POST025|627204|OK|65|46|43|16|12|8|5|5|85
POST026|604992|OK|59|46|44|15|11|7|6|5|85
POST027|349156|OK|30|47|35|10|8|5|7|4|69
POST028|2230276|OK|301|47|161|36|33|21|10|6|269
POST029|1811904|OK|211|47|103|35|30|21|8|5|226
POSTIN_MTX|68224|OK|6|3|6|2|2|2|0|0|0
POST_WST|10524|OK|0|0|0|2|1|1|0|0|0
POS_ALRT_SCR|72388|OK|4|3|4|1|1|1|1|5|242
POS_IMPXLS_AVLQTY|300340|OK|14|46|35|10|7|5|5|5|73
POS_INSTALL|596112|OK|487|2|32|4|3|4|5|10|69
POS_ITM_PRICE|540732|OK|11|8|6|4|2|2|0|0|0
